City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Garowe,SO,2021-10-03 00:47:58,8.4054,48.4845,76.1,72,100,12.71
141,Baykalovo,RU,2021-10-03 00:47:59,57.3981,63.7684,32.23,89,65,6.93
142,Coos Bay,US,2021-10-03 00:47:59,43.3665,-124.2179,71.85,88,1,20.71
143,Atbasar,KZ,2021-10-03 00:48:00,51.8,68.3333,36.59,89,92,3.53
144,Dehloran,IR,2021-10-03 00:48:00,32.6941,47.2679,90.07,11,0,12.66
145,Atasu,KZ,2021-10-03 00:48:01,48.6814,71.6433,34.65,68,52,6.33
146,Ambulu,ID,2021-10-03 00:39:45,-8.345,113.6058,81.12,67,66,4.63
147,Ukiah,US,2021-10-03 00:48:01,39.1502,-123.2078,91.29,18,1,10.36
148,Vardo,NO,2021-10-03 00:39:44,70.3705,31.1107,48.65,84,100,26.08
149,San Cristobal,VE,2021-10-03 00:41:38,7.7669,-72.225,75.38,88,15,2.1
150,Mar Del Plata,AR,2021-10-03 00:35:18,-38.0023,-57.5575,55.13,66,90,8.99
151,Mount Darwin,ZW,2021-10-03 00:48:02,-16.7725,31.5838,66.76,50,7,3.09
152,Mogadishu,SO,2021-10-03 00:48:02,2.0371,45.3438,77.7,84,25,14.0
153,Ocos,GT,2021-10-03 00:41:24,14.5094,-92.1933,84.31,77,100,3.47
154,Stornoway,GB,2021-10-03 00:48:03,58.2093,-6.3865,53.92,100,24,1.14
155,Newtownards,GB,2021-10-03 00:48:03,54.5924,-5.6909,45.34,89,32,4.0
156,Victoria,HK,2021-10-03 00:37:28,22.2855,114.1577,87.22,85,45,1.01
157,Torbay,CA,2021-10-03 00:39:46,47.6666,-52.7314,55.27,88,20,8.05
158,Luganville,VU,2021-10-03 00:48:04,-15.5333,167.1667,81.36,81,100,10.98
159,Nanyang,CN,2021-10-03 00:45:27,32.9947,112.5328,80.47,67,0,11.12
160,Nouadhibou,MR,2021-10-03 00:41:41,20.931,-17.0347,71.58,78,100,6.91
161,Sesvete,HR,2021-10-03 00:48:05,45.8311,16.1164,49.41,93,0,0.0
162,Palauig,PH,2021-10-03 00:48:05,15.435,119.9045,85.44,67,38,2.15
163,Dryden,CA,2021-10-03 00:48:06,49.7833,-92.7503,57.49,94,90,5.75
164,Grand Gaube,MU,2021-10-03 00:41:34,-20.0064,57.6608,72.37,72,68,8.01
165,Newton,US,2021-10-03 00:48:06,42.337,-71.2092,66.02,77,75,3.0
166,Atar,MR,2021-10-03 00:48:07,20.5169,-13.0499,89.35,25,82,3.36
167,Kumla,SE,2021-10-03 00:48:07,59.1277,15.1434,55.35,82,75,9.22
168,Avarua,CK,2021-10-03 00:39:29,-21.2078,-159.775,75.25,88,75,10.36
169,Dingle,PH,2021-10-03 00:40:12,10.9995,122.6711,81.99,82,100,2.64
170,Clyde River,CA,2021-10-03 00:40:51,70.4692,-68.5914,36.79,85,100,4.72
171,Hofn,IS,2021-10-03 00:40:43,64.2539,-15.2082,45.88,69,94,20.62
172,Cidreira,BR,2021-10-03 00:40:11,-30.1811,-50.2056,63.46,80,30,12.33
173,Saint Matthews,US,2021-10-03 00:48:08,38.2529,-85.6558,74.91,82,75,8.05
174,Provideniya,RU,2021-10-03 00:41:08,64.3833,-173.3,29.89,66,0,2.04
175,Chapais,CA,2021-10-03 00:42:11,49.7834,-74.8492,42.58,78,0,4.18
176,Zyryanka,RU,2021-10-03 00:41:46,65.75,150.85,30.7,71,95,7.7
177,Tabou,CI,2021-10-03 00:48:09,4.423,-7.3528,77.22,84,86,4.68
178,Cabo San Lucas,MX,2021-10-03 00:38:22,22.8909,-109.9124,84.51,88,90,0.0
179,Arvika,SE,2021-10-03 00:43:27,59.6553,12.5852,52.5,97,100,10.94
180,Esperance,AU,2021-10-03 00:39:51,-33.8667,121.9,53.44,72,100,26.15
181,Dahuk,IQ,2021-10-03 00:48:10,36.8695,42.994,74.44,27,93,5.68
182,Castro,BR,2021-10-03 00:40:29,-24.7911,-50.0119,60.58,98,100,3.51
183,Svetlaya,RU,2021-10-03 00:39:46,46.5389,138.3297,55.83,42,3,6.35
184,Srednekolymsk,RU,2021-10-03 00:41:54,67.45,153.6833,26.89,75,89,15.1
185,Alta,NO,2021-10-03 00:48:11,69.9689,23.2717,52.86,70,20,1.99
186,College,US,2021-10-03 00:48:11,64.8569,-147.8028,35.58,95,90,0.0
187,Pevek,RU,2021-10-03 00:40:10,69.7008,170.3133,25.14,84,94,20.51
188,Emilio Carranza,MX,2021-10-03 00:48:12,19.9711,-96.6114,78.98,81,100,1.41
189,Bandarban,BD,2021-10-03 00:48:12,22.1965,92.2262,76.62,95,100,1.68
190,Dekernes,EG,2021-10-03 00:48:13,31.0876,31.595,76.89,70,88,7.11
191,Changping,CN,2021-10-03 00:48:13,40.2186,116.2197,67.64,91,100,4.0
192,Sainte-Marie,RE,2021-10-03 00:48:14,-20.8968,55.5496,69.96,88,90,10.36
193,Clarence Town,AU,2021-10-03 00:48:14,-32.5833,151.7833,77.05,39,5,10.96
194,Bria,CF,2021-10-03 00:48:14,6.5423,21.9863,67.62,96,99,4.29
195,Mango,US,2021-10-03 00:45:00,27.9797,-82.3065,84.85,72,1,3.44
196,Kruisfontein,ZA,2021-10-03 00:48:15,-34.0033,24.7314,48.88,67,99,13.13
197,Kaitangata,NZ,2021-10-03 00:40:36,-46.2817,169.8464,54.93,76,100,1.74
198,Iskateley,RU,2021-10-03 00:42:30,67.6803,53.1512,35.73,80,100,8.79
199,Mayor Pablo Lagerenza,PY,2021-10-03 00:41:37,-19.9309,-60.7718,92.37,33,0,11.7
200,Solnechnyy,RU,2021-10-03 00:48:16,50.7214,136.6319,48.76,36,0,2.26
201,Khipro,PK,2021-10-03 00:48:16,25.8285,69.3772,82.33,74,13,11.81
202,Manokwari,ID,2021-10-03 00:48:16,-0.8667,134.0833,81.41,79,100,2.84
203,Sungaipenuh,ID,2021-10-03 00:48:17,-2.0833,101.3833,69.58,81,100,0.51
204,Khislavichi,RU,2021-10-03 00:48:17,54.1871,32.1582,40.21,84,93,7.0
205,Port Blair,IN,2021-10-03 00:40:30,11.6667,92.75,77.04,94,75,4.61
206,Smithers,CA,2021-10-03 00:48:18,54.7804,-127.1743,50.32,53,40,18.41
207,Nanortalik,GL,2021-10-03 00:41:11,60.1432,-45.2371,40.12,76,8,3.13
208,Sorland,NO,2021-10-03 00:39:48,67.667,12.6934,53.73,81,100,17.02
209,Meulaboh,ID,2021-10-03 00:46:27,4.1363,96.1285,77.63,84,97,2.89
210,Kerema,PG,2021-10-03 00:48:18,-7.9631,145.7785,81.61,80,100,1.48
211,Umba,RU,2021-10-03 00:48:19,66.6871,34.3429,45.55,91,100,8.19
212,Qasigiannguit,GL,2021-10-03 00:48:19,68.8193,-51.1922,17.28,92,27,4.41
213,Imeni Poliny Osipenko,RU,2021-10-03 00:46:47,52.4201,136.4853,45.79,44,18,4.9
214,Poyarkovo,RU,2021-10-03 00:48:20,49.6,128.6833,44.74,82,100,11.63
215,Polonnaruwa,LK,2021-10-03 00:48:20,7.9333,81.0,75.51,92,10,3.15
216,Ouallam,NE,2021-10-03 00:48:20,14.3188,2.0866,88.34,16,4,5.73
217,Gizo,SB,2021-10-03 00:48:21,-8.103,156.8419,83.14,74,24,4.32
218,Tabas,IR,2021-10-03 00:48:21,33.5959,56.9244,69.35,28,0,5.64
219,Puerto Del Rosario,ES,2021-10-03 00:41:52,28.5004,-13.8627,71.35,94,0,9.22
220,Jiquipilas,MX,2021-10-03 00:48:22,16.6667,-93.65,71.46,98,86,3.85
221,Kieta,PG,2021-10-03 00:48:22,-6.2167,155.6333,83.28,72,100,4.56
222,Ustye,RU,2021-10-03 00:48:22,59.6304,39.736,39.07,89,86,2.19
223,Paamiut,GL,2021-10-03 00:40:00,61.994,-49.6678,40.68,65,100,7.14
224,Lompoc,US,2021-10-03 00:35:37,34.6391,-120.4579,88.12,70,20,5.75
225,Kasongo-Lunda,CD,2021-10-03 00:41:11,-6.4667,16.8167,69.67,92,44,1.19
226,Wlodawa,PL,2021-10-03 00:48:24,51.55,23.55,48.51,62,98,8.86
227,Plettenberg Bay,ZA,2021-10-03 00:48:24,-34.0527,23.3716,49.19,73,66,9.53
228,Sola,VU,2021-10-03 00:41:32,-13.8833,167.55,77.67,94,90,5.75
229,Shirvan,AZ,2021-10-03 00:48:24,39.9509,48.8994,60.85,63,100,4.81
230,Lundazi,ZM,2021-10-03 00:48:25,-12.2929,33.1782,70.84,49,94,9.48
231,Grindavik,IS,2021-10-03 00:40:45,63.8424,-22.4338,42.75,75,75,29.93
232,Hasaki,JP,2021-10-03 00:42:33,35.7333,140.8333,77.29,67,0,14.61
233,Changying,CN,2021-10-03 00:48:25,52.8733,123.3213,39.07,55,0,4.21
234,Torrington,US,2021-10-03 00:45:05,41.8007,-73.1212,63.91,88,5,5.1
